Year,TeamLeft,PointsLeft,TeamRight,PointsRight
2021, UCLA,67,Abilene Christian,47
2021, Alabama,96,Maryland,77
2021, Baylor,76,Wisconsin,63
2021, Villanova,84,North Texas,61
2021, Arkansas,68,Texas Tech,66
2021, Oral Roberts,81,Florida,78
2021, Houston,67,Oregon St.,61
2021, Gonzaga,85,USC,66
2021, UCLA,51,Michigan,49
2021, Baylor,81,Arkansas,72
2021, Baylor,78,Houston,59
2021, Gonzaga,93,UCLA,90
2021, Baylor,86,Gonzaga,70
2019,Duke,85,North Dakota St.,62
2019,Michigan St.,76,Bradley,65
2019,LSU,79,Yale,74
2019,Virginia Tech,66,Saint Louis,52
2019,Liberty,80,Mississippi St.,76
2019,Maryland,79,Belmont,77
2019,Minnesota,86,Louisville,76
2019,UCF,73,VCU,58
2019,Gonzaga,87,Fairleigh Dickinson,49
2019,Michigan,74,Montana,55
2019,Texas Tech,72,Northern Kentucky,57
2019,Florida St.,76,Vermont,69
2019,Murray St.,83,Marquette,64
2019,Buffalo,91,Arizona St.,74
2019,Florida,70,Nevada,61
2019,Baylor,78,Syracuse,69
2019,Virginia,71,Gardner Webb,56
2019,Tennessee,77,Colgate,70
2019,Purdue,61,Old Dominion,48
2019,UC Irvine,70,Kansas St.,64
2019,Oregon,72,Wisconsin,54
2019,Villanova,61,Saint Mary's,57
2019,Iowa,79,Temple,72
2019,Oklahoma,95,Mississippi,72
2019,North Carolina,88,Iona,73
2019,Kentucky,79,Abilene Christian,44
2019,Houston,84,Georgia St.,55
2019,Kansas,87,Northeastern,53
2019,Auburn,78,New Mexico St.,77
2019,Ohio St.,62,Iowa St.,59
2019,Wofford,84,Seton Hall,68
2019,Washington,78,Utah St.,61
2019,Duke,77,UCF,76
2019,Michigan St.,70,Minnesota,50
2019,LSU,69,Maryland,67
2019,Virginia Tech,67,Liberty,58
2019,Gonzaga,83,Baylor,71
2019,Michigan,64,Florida,49
2019,Texas Tech,78,Buffalo,58
2019,Florida St.,90,Murray St.,62
2019,Virginia,63,Oklahoma,51
2019,Tennessee,83,Iowa,77
2019,Purdue,87,Villanova,61
2019,Oregon,73,UC Irvine,54
2019,North Carolina,81,Washington,59
2019,Kentucky,62,Wofford,56
2019,Houston,74,Ohio St.,59
2019,Auburn,89,Kansas,75
2019,Duke,75,Virginia Tech,73
2019,Michigan St.,80,LSU,63
2019,Gonzaga,72,Florida St.,58
2019,Texas Tech,63,Michigan,44
2019,Virginia,53,Oregon,49
2019,Purdue,99,Tennessee,94
2019,Auburn,97,North Carolina,80
2019,Kentucky,62,Houston,58
2019,Michigan St.,68,Duke,67
2019,Texas Tech,75,Gonzaga,69
2019,Virginia,80,Purdue,75
2019,Auburn,77,Kentucky,71
2019,Virginia,63,Auburn,62
2019,Texas Tech,61,Michigan St.,51
2019,Virginia,85,Texas Tech,77
2018,Villanova,87,Radford,61
2018,Purdue,74,Cal St. Fullerton,48
2018,Texas Tech,70,Stephen F. Austin,60
2018,Marshall,81,Wichita St.,75
2018,West Virginia,85,Murray St.,68
2018,Florida,77,St. Bonaventure,62
2018,Butler,79,Arkansas,62
2018,Alabama,86,Virginia Tech,83
2018,Xavier,102,Texas Southern,82
2018,North Carolina,84,Lipscomb,66
2018,Michigan,61,Montana,47
2018,Gonzaga,68,UNC Greensboro,64
2018,Ohio St.,81,South Dakota St.,73
2018,Houston,67,San Diego St.,65
2018,Texas A&M,73,Providence,69
2018,Florida St.,67,Missouri,54
2018,UMBC,74,Virginia,54
2018,Cincinnati,68,Georgia St.,53
2018,Tennessee,73,Wright St.,47
2018,Buffalo,89,Arizona,68
2018,Kentucky,78,Davidson,73
2018,Loyola Chicago,64,Miami FL,62
2018,Nevada,87,Texas,83
2018,Kansas St.,69,Creighton,59
2018,Kansas,76,Penn,60
2018,Duke,89,Iona,67
2018,Michigan St.,82,Bucknell,78
2018,Auburn,62,College of Charleston,58
2018,Clemson,79,New Mexico St.,68
2018,Syracuse,57,TCU,52
2018,Rhode Island,83,Oklahoma,78
2018,Seton Hall,94,North Carolina St.,83
2018,Villanova,81,Alabama,58
2018,Purdue,76,Butler,73
2018,Texas Tech,69,Florida,66
2018,West Virginia,94,Marshall,71
2018,Florida St.,75,Xavier,70
2018,Texas A&M,86,North Carolina,65
2018,Michigan,64,Houston,63
2018,Gonzaga,90,Ohio St.
2018,Kansas St.,50,UMBC,43
2018,Nevada,75,Cincinnati,73
2018,Loyola Chicago,63,Tennessee,62
2018,Kentucky,95,Buffalo,75
2018,Kansas,83,Seton Hall,79
2018,Duke,87,Rhode Island,62
2018,Syracuse,55,Michigan St.,53
2018,Clemson,84,Auburn,53
2018,Villanova,90,West Virginia,78
2018,Texas Tech,78,Purdue,65
2018,Florida St.,75,Gonzaga,60
2018,Michigan,99,Texas A&M,72
2018,Kansas St.,61,Kentucky,58
2018,Loyola Chicago,69,Nevada,68
2018,Kansas,80,Clemson,76
2018,Duke,69,Syracuse,65
2018,Villanova,71,Texas Tech,59
2018,Michigan,58,Florida St.,54
2018,Loyola Chicago,78,Kansas St.,62
2018,Kansas,85,Duke,81
2018,Villanova,95,Kansas,79
2018,Michigan,69,Loyola Chicago,57
2018,Villanova,79,Michigan,62
2017,Villanova,76,Mount St. Mary's,56
2017,Duke,87,Troy,65
2017,Baylor,91,New Mexico St.,73
2017,Florida,80,East Tennessee St.,65
2017,Virginia,76,UNC Wilmington,71
2017,USC,66,SMU,65
2017,South Carolina,93,Marquette,73
2017,Wisconsin,84,Virginia Tech,74
2017,Gonzaga,66,South Dakota St.,46
2017,Arizona,100,North Dakota,82
2017,Florida St.,86,Florida Gulf Coast,80
2017,West Virginia,86,Bucknell,80
2017,Notre Dame,60,Princeton,58
2017,Xavier,76,Maryland,65
2017,Saint Mary's,85,VCU,77
2017,Northwestern,68,Vanderbilt,66
2017,North Carolina,103,Texas Southern,64
2017,Kentucky,79,Northern Kentucky,70
2017,UCLA,97,Kent St.,80
2017,Butler,76,Winthrop,64
2017,Middle Tennessee,81,Minnesota,72
2017,Cincinnati,75,Kansas St.,61
2017,Wichita St.,64,Dayton,58
2017,Arkansas,77,Seton Hall,71
2017,Kansas,100,UC Davis,62
2017,Louisville,78,Jacksonville St.,63
2017,Oregon,93,Iona,77
2017,Purdue,80,Vermont,70
2017,Iowa St.,84,Nevada,73
2017,Rhode Island,84,Creighton,72
2017,Michigan,92,Oklahoma St.,91
2017,Michigan St.,78,Miami FL,58
2017,Wisconsin,65,Villanova,62
2017,South Carolina,88,Duke,81
2017,Baylor,82,USC,78
2017,Florida,65,Virginia,39
2017,Gonzaga,79,Northwestern,73
2017,Arizona,69,Saint Mary's,60
2017,Xavier,91,Florida St.,66
2017,West Virginia,83,Notre Dame,71
2017,North Carolina,72,Arkansas,65
2017,Kentucky,65,Wichita St.,62
2017,UCLA,79,Cincinnati,67
2017,Butler,74,Middle Tennessee,65
2017,Kansas,90,Michigan St.,70
2017,Michigan,73,Louisville,69
2017,Oregon,75,Rhode Island,72
2017,Purdue,80,Iowa St.,76
2017,Florida,84,Wisconsin,83
