Year,TeamLeft,PointsLeft,TeamRight,PointsRight
2011,Connecticut,56,Kentucky,55
2011,Butler,70,VCU,62
2011,Connecticut,53,Butler,41
2010,Kentucky,100,East Tennessee St.,71
2010,West Virginia,77,Morgan St.,50
2010,New Mexico,62,Montana,57
2010,Wisconsin,53,Wofford,49
2010,Cornell,78,Temple,65
2010,Washington,80,Marquette,78
2010,Missouri,86,Clemson,78
2010,Wake Forest,81,Texas,80
2010,Syracuse,79,Vermont,56
2010,Kansas St.,82,North Texas,62
2010,Pittsburgh,89,Oakland,66
2010,Murray St.,66,Vanderbilt,65
2010,Butler,77,UTEP,59
2010,Xavier,65,Minnesota,54
2010,BYU,99,Florida,92
2010,Gonzaga,67,Florida St.,60
2010,Duke,73,Arkansas Pine Bluff,44
2010,Villanova,73,Robert Morris,70
2010,Baylor,68,Sam Houston St.,59
2010,Purdue,72,Siena,64
2010,Texas A&M,69,Utah St.,53
2010,Old Dominion,51,Notre Dame,50
2010,Saint Mary's,80,Richmond,71
2010,California,77,Louisville,62
2010,Kansas,90,Lehigh,74
2010,Ohio St.,68,UC Santa Barbara,51
2010,Ohio,97,Georgetown,84
2010,Maryland,89,Houston,77
2010,Michigan St.,70,New Mexico St.,67
2010,Tennessee,62,San Diego St.,59
2010,Georgia Tech,64,Oklahoma St.,59
2010,Northern Iowa,69,UNLV,66
2010,Kentucky,90,Wake Forest,60
2010,West Virginia,68,Missouri,59
2010,Washington,82,New Mexico,64
2010,Cornell,87,Wisconsin,69
2010,Syracuse,87,Gonzaga,65
2010,Kansas St.,84,BYU,72
2010,Xavier,71,Pittsburgh,68
2010,Butler,54,Murray St.,52
2010,Duke,68,California,53
2010,Saint Mary's,75,Villanova,68
2010,Baylor,76,Old Dominion,68
2010,Purdue,63,Texas A&M,61
2010,Northern Iowa,69,Kansas,67
2010,Ohio St.,75,Georgia Tech,66
2010,Tennessee,83,Ohio,68
2010,Michigan St.,85,Maryland,83
2010,Kentucky,62,Cornell,45
2010,West Virginia,69,Washington,56
2010,Butler,63,Syracuse,59
2010,Kansas St.,101,Xavier,96
2010,Duke,70,Purdue,57
2010,Baylor,72,Saint Mary's,49
2010,Michigan St.,59,Northern Iowa,52
2010,Tennessee,76,Ohio St.,73
2010,West Virginia,73,Kentucky,66
2010,Butler,63,Kansas St.,56
2010,Duke,78,Baylor,71
2010,Michigan St.,70,Tennessee,69
2010,Duke,78,West Virginia,57
2010,Butler,52,Michigan St.,50
2010,Duke,61,Butler,59
