YEAR,TEAM NO,TEAM,SEED,ROUND,NET RPI,RESUME,WAB RANK,ELO,B POWER,Q1 W,Q2 W,Q1 PLUS Q2 W,Q3 Q4 L,PLUS 500,R SCORE,BID TYPE
2024,1054,Illinois,3,0,15,13,7,7,11,8,6,14,1,19,99.82,At-Large
2024,1053,Iowa St.,2,0,6,4,4,4,5.5,10,6,16,0,21,99.86,At-Large
2024,1052,James Madison,12,0,53,91,34,18,52.5,1,0,1,1,28,24.78,At-Large
2024,1051,Kansas,4,0,21,11,14,44,21,7,6,13,1,13,99.42,At-Large
2024,1050,Kentucky,3,0,19,12,22,23,19.5,6,2,8,1,15,99.4,At-Large
2024,1049,Long Beach St.,15,0,170,201,163,142,167.5,0,3,3,11,6,0,At-Large
2024,1048,Longwood,16,0,163,231,172,146,148.5,0,1,1,10,7,0,At-Large
2024,1047,Marquette,2,0,14,7,6,9,13,9,6,15,0,17,99.78,At-Large
2024,1046,McNeese St.,12,0,56,101,50,28,56,1,2,3,1,26,3.37,At-Large
2024,1045,Michigan St.,9,0,24,47,55,64,19,3,6,9,0,5,85.74,At-Large
2024,1044,Mississippi St.,8,0,31,35,48,55,29.5,4,4,8,1,8,91.96,At-Large
2024,1043,Montana St.,16,0,208,264,268,186,247,0,1,1,13,2,0,At-Large
2024,1042,Morehead St.,14,0,108,153,88,85,106,0,0,0,4,17,0,At-Large
2024,1041,Nebraska,8,0,34,50,27,35,33,4,5,9,0,13,89.01,At-Large
2024,1040,Nevada,10,0,33,22,23,13,45.5,6,2,8,1,19,93.28,At-Large
2024,1039,New Mexico,11,0,22,40,31,21,33,5,3,8,2,17,89.44,At-Large
2024,1038,North Carolina,1,0,8,5,5,6,10,9,7,16,0,20,99.91,At-Large
2024,1037,North Carolina St.,11,0,63,36,62,52,57.5,3,6,9,1,8,19.95,At-Large
2024,1036,Northwestern,9,0,52,43,33,54,42.5,4,5,9,1,10,76.47,At-Large
2024,1035,Oakland,14,0,126,106,100,79,134,1,1,2,6,11,0,At-Large
2024,1034,Oregon,11,0,59,39,36,43,58.5,4,5,9,1,12,37.55,At-Large
2024,1033,Purdue,1,0,3,1,2,3,3,12,8,20,0,25,99.96,At-Large
2024,1032,Saint Mary's,5,0,16,29,37,11,17.5,5,3,8,2,20,97.23,At-Large
2024,1031,Saint Peter's,15,0,187,210,175,150,192,0,0,0,10,5,0,At-Large
2024,1030,Samford,13,0,74,113,56,33,89,0,2,2,3,23,0.08,At-Large
2024,1029,San Diego St.,5,0,20,33,24,29,27.5,4,6,10,0,15,97.98,At-Large
2024,1028,South Carolina,6,0,51,24,12,12,51.5,6,5,11,2,19,97.46,At-Large
2024,1027,South Dakota St.,15,0,135,228,148,112,143,0,0,0,9,9,0,At-Large
2024,1026,Stetson,16,0,209,212,137,157,198,1,0,1,8,9,0,At-Large
2024,1025,TCU,9,0,42,32,38,60,29,5,3,8,0,9,84.07,At-Large
2024,1024,Tennessee,2,0,7,6,8,8,7,8,5,13,0,17,99.89,At-Large
2024,1023,Texas,7,0,30,27,42,56,25,5,3,8,1,8,93.16,At-Large
2024,1022,Texas A&M,9,0,44,14,54,58,39.5,7,6,13,4,6,83.23,At-Large
2024,1021,Texas Tech,6,0,26,15,16,30,25,6,4,10,0,13,97.18,At-Large
2024,1020,UAB,12,0,105,102,85,62,112.5,0,7,7,4,11,0.01,At-Large
2024,1019,Utah St.,8,0,39,52,17,15,58,4,4,8,0,21,95.83,At-Large
2024,1018,Vermont,13,0,102,126,71,40,92.5,0,2,2,4,21,0.01,At-Large
2024,1017,Virginia,10,0,54,56,41,48,62,2,8,10,0,13,38.68,At-Large
2024,1016,Wagner,16,0,290,304,241,253,283,0,0,0,13,1,0,At-Large
2024,1015,Washington St.,7,0,45,28,29,32,42,6,3,9,1,15,86.43,At-Large
2024,1014,Western Kentucky,15,0,136,204,135,130,145,0,1,1,11,10,0,At-Large
2024,1013,Wisconsin,5,0,18,18,18,45,17.5,5,9,14,0,9,98.88,At-Large
2024,1012,Yale,13,0,83,123,82,53,72,0,3,3,4,12,0.05,At-Large
2023,1011,Alabama,1,16,2,3,1,1,2.7,13,6,19,0,24,99.9,Auto
2023,1010,Arizona,2,64,10,7,7,10,9.3,9,7,16,0,22,99.8,Auto
2023,1009,Arizona St.,11,64,66,32,39,60,70,5,4,9,1,10,43.9,At-Large
2023,1008,Arkansas,8,16,21,37,48,61,18.7,4,4,8,1,7,88.1,At-Large
2023,1007,Auburn,9,32,32,49,42,59,27.3,3,6,9,1,8,84.9,At-Large
